,socname,phylo,men,women,cultural,polygamy,ordinal,nsp,wives,stress,stress2,fcont1,fcontmean,hunt,fish,gather,hunt2,fish2,gather2,plow,timesub,submode,submode2,mort,density,assfreq,femarr,maggr,intwar,proxi,ineq,strat,temp,lati,hemi,region,clim
175,Trumai,Trumai,12,22,3,3,4,0,1.128205128,14,2,35,4,1,3,2,3,3,3,0,2,7,3,NA,1,1,5,1,NA,NA,1.5,1,25,14,2,6,5
176,Timbira,MISSING_Timbira,0,0,1,2,2,NA,1,16,2,48,4,3,1,2,4,2,2,0,NA,7,3,NA,3,2,2,NA,1,4,1,1,26,5,2,6,5
177,Tupinamba,Tupinamba,30,50,4,4,4,1,1.4,18,3,50,4,2,2,2,4,3,2,0,3,7,3,5,2,2,4,1,17,4,2,2,27,8,2,6,3
178,Botocudo,Botocudo,33,55,3,3,5,0,1.488888889,17,3,50,3,4,1,5,6,3,2,0,NA,2,8,NA,1,NA,NA,NA,14,NA,1,1,21,19,2,6,5
179,Shavante,Shavante,24,49,5,4,5,NA,1.490196078,20,3,38,4,3,1,4,4,2,5,0,3,1,7,NA,1,9,6,1,13,4,1,1,25,14,2,6,5
180,Aweikoma,Aweikoma,30,50,3,4,5,1,1.4,15,2,30,2,6,0,4,6,2,3,0,NA,2,8,NA,1,9,1,NA,NA,4,1,1,16,29,2,6,4
181,Cayua,Cayua,NA,NA,3,3,4,0,NA,12,2,28,4,2,1,2,5,2,3,0,2,7,3,NA,2,NA,NA,3,NA,4,NA,1,22,23,2,6,4
182,Lengua,Lengua,3,6,3,3,3,0,1.031914894,11,2,20,2,5,2,2,5,3,3,0,NA,2,8,3,1,NA,1,NA,1,NA,1,1,24,23,2,6,4
183,Abipon,Abipon,5,10,4,3,3,0,1.055555556,12,2,20,3,6,1,2,5,2,3,0,3,5,8,5,2,5,5,1,13,NA,2.5,4,20,29,2,6,4
184,Mapuche,Mapuche,6,10,4,3,3,1,1.044444444,8,1,30,3,0,1,1,3,3,2,0,NA,12,1,0,5,5,NA,NA,1,4,NA,2,16,39,2,6,4
185,Tehuelche,Tehuelche,1,2,2,3,3,0,1.010204082,7,1,NA,1,7,1,2,6,2,2,0,2,5,8,NA,1,9,2,2,9,3,2,1,11,46,2,6,2
186,Yahgan,Yahgan,5,10,2,3,3,0,1.055555556,7,1,45,6,2,7,1,3,5,2,0,NA,3,6,NA,2,9,1,NA,8,4,1,1,5,55,2,6,4
